region,start_date,end_date,uhi,ndvi_mean,ndvi_std,evi_mean,evi_std,evi2_mean,evi2_std,population_mean,population_std,albedo_mean,albedo_std,no2_mean,no2_std
Adyar,2018-09-08,2018-10-08,1.1273112316656437,0.4295075308641975,0.06849569481604952,0.3284254732510287,0.05675097588490355,0.28323876543209875,0.05108197235136445,24118.022928722992,0.0009765625,0.1208908191260043,0.013078358878080544,7.218623107871258e-05,1.1896143658831474e-06
Adyar,2018-10-08,2018-11-07,0.7799088607595195,0.43665592592592595,0.0628106053818743,0.300926512345679,0.041927739992270056,0.26040953703703706,0.0400479473373791,24118.022928722992,0.0009765625,0.11712451572959354,0.014796068166587654,9.375640000553308e-05,2.689952883513222e-06
Adyar,2018-11-07,2018-12-07,2.5854356540084105,0.4338000925925925,0.0478299656620652,0.28374648148148146,0.0325867921624315,0.24993771604938272,0.02892690393879683,24118.022928722992,0.0009765625,0.1215309709378115,0.013866744496527288,8.623130535239609e-05,2.2002275689532794e-06
Adyar,2018-12-07,2019-01-06,1.244492264416305,0.3970123765432098,0.04711951062192819,0.26021104938271605,0.027405460899415215,0.22512685185185186,0.03110894399500528,24118.022928722992,0.0009765625,0.11802343474426806,0.01083940868140034,0.00010331108164032833,4.026565320934254e-06
Adyar,2019-01-06,2019-02-05,0.8402335048917102,0.35770160493827163,0.04261616099244938,0.25002231481481485,0.030639724617061645,0.206266049382716,0.02914972110045617,24118.022928722992,0.0009765625,0.1129145972957084,0.010149505422307978,8.103436682018435e-05,4.664937056352179e-06
Adyar,2019-02-05,2019-03-07,0.7983910351252135,0.3303791358024691,0.03810421923406277,0.23005765432098763,0.021745561463420018,0.19359493827160493,0.01965497710504899,24118.022928722992,0.0009765625,0.11959448559670784,0.010908100965184903,6.307362721180285e-05,2.4393731219227248e-06
Adyar,2019-03-07,2019-04-06,0.9846486530347107,0.3136150205761317,0.02165386440684403,0.24378753086419755,0.02271183879671063,0.20308711934156382,0.017398758237140047,24118.022928722992,0.0009765625,0.1252804938271605,0.008897284229845969,6.767925652104197e-05,1.5992111259218087e-06
Adyar,2019-04-06,2019-05-06,1.1168812236287025,0.2982352160493827,0.04770920868920369,0.23221104938271606,0.04557921846905678,0.190154475308642,0.03620773384560787,24118.022928722992,0.0009765625,0.11810924567698515,0.007413009354642808,7.181636919931156e-05,1.6663902690432804e-06
Adyar,2019-05-06,2019-06-05,0.8625449873244264,0.2808903086419753,0.04967007241538912,0.2129427160493827,0.04783755052502557,0.17046944444444445,0.036720692900725424,24118.022928722992,0.0009765625,0.11683594579253583,0.010537727299412061,9.008584800785514e-05,1.773597186451661e-06
Adyar,2019-06-05,2019-07-05,1.9250053244926946,0.3322568518518519,0.03317971880885037,0.21427802469135804,0.020308760232655498,0.1816430864197531,0.01922921945528144,24118.022928722992,0.0009765625,0.11274993648212431,0.00699363273687285,0.00010006623557419776,1.9472764927900105e-06
Adyar,2019-07-05,2019-08-04,1.8629556962025262,0.4094597942386832,0.04771812181242635,0.2966687242798353,0.029540539176885608,0.2542679835390947,0.02860295943070263,24118.022928722992,0.0009765625,0.11603975194824372,0.019022618577870402,8.405046730611149e-05,1.3065837502374778e-06
Adyar,2019-08-04,2019-09-03,3.097237732656559,0.47842373456790116,0.058820741236484064,0.26577104938271606,0.030373797397746836,0.243316049382716,0.028180119425924632,24118.022928722992,0.0009765625,0.11179104010025064,0.015432076789563471,8.416921047710117e-05,2.0332322755478094e-06
Adyar,2019-09-03,2019-10-03,1.468552742616069,0.40166367283950616,0.06537523870654316,0.2814330555555556,0.05112806225547779,0.24875182098765428,0.04959883401792333,24118.022928722992,0.0009765625,0.11868722488610887,0.013303517884855951,7.699666821213788e-05,5.864068287355729e-07
Adyar,2019-10-03,2019-11-02,1.4694113924050214,0.4340110185185185,0.050509202441238944,0.2792950308641975,0.03596908557619277,0.2453466975308642,0.03764340911766629,24118.022928722992,0.0009765625,0.12003794004571289,0.015835332569847056,6.415480774803412e-05,1.5131623958615295e-06
Adyar,2019-11-02,2019-12-02,0.5044665963432031,0.43569148148148157,0.052610827466090346,0.2587933744855967,0.025675771856298112,0.22853539094650208,0.02753764815615547,24118.022928722992,0.0009765625,0.1281305679814013,0.014911803163320634,8.585017984403566e-05,1.3659769100257697e-06
Adyar,2019-12-02,2020-01-01,0.840997468354459,0.42587654320987645,0.050655842071152125,0.29609203703703707,0.038752479633364735,0.2583968827160494,0.04139054419112553,24118.022928722992,0.0009765625,0.11628724279835391,0.009285872632960027,5.996907695555768e-05,1.6620975800200953e-06
Adyar,2020-01-01,2020-01-31,0.6573593530238995,0.4144437345679013,0.05650487733027457,0.2677996296296296,0.03799875614740548,0.23022817901234569,0.037290299090380084,24118.022928722992,0.0009765625,0.11691584362139916,0.010079076236331206,5.767952518183138e-05,2.8411688975791187e-06
Adyar,2020-01-31,2020-03-01,0.8731943012958112,0.3661170061728395,0.03821498806096923,0.24419030864197533,0.035419600307421514,0.2073778086419753,0.029285435099796163,24118.022928722992,0.0009765625,0.11825304526748973,0.011093691901256213,5.712771171861414e-05,2.23073616407029e-06
Adyar,2020-03-01,2020-03-31,0.8053587031570686,0.3571540432098765,0.041200984135696374,0.2726377777777778,0.03040809860773127,0.22866626543209875,0.02470210940353797,24118.022928722992,0.0009765625,0.11862724279835389,0.010753590324217821,5.215599263102834e-05,8.059869893693765e-07
